rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
533,7975727,K00418.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
534,8219673,K00419.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
537,9214713,K00422.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0
539,9597411,K00424.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
540,9967884,K00425.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
554,11656302,K00434.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
561,11824222,K00437.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
567,3340312,K00441.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
575,5021176,K00447.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
577,5640085,K00448.02,Kepler-159 c,CONFIRMED,FALSE POSITIVE,0.0000,0,1,0,0
578,5779852,K00449.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
579,6042214,K00450.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
580,6200715,K00451.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
582,6758917,K00453.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0,1,0,0
584,7101828,K00455.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
593,8621348,K00461.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
594,8773869,K00462.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
598,9008220,K00466.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
621,11255761,K00482.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
624,12316431,K00485.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
628,2576197,K00489.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
630,3239945,K00490.02,Kepler-167 e,CONFIRMED,FALSE POSITIVE,0.0000,1,0,0,0
633,3541800,K00491.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
635,3834360,K00493.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
637,4049108,K00495.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
648,5282051,K00502.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
662,6381846,K00509.03,Kepler-171 d,CONFIRMED,FALSE POSITIVE,0.0000,0,1,0,0
671,7602070,K00514.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
672,7812179,K00515.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
673,7840044,K00516.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
690,9119458,K00525.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
692,9636569,K00527.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
696,10068030,K00529.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
708,11521048,K00540.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
714,11913012,K00544.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
715,11972666,K00545.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
722,3437776,K00549.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
723,3437776,K00549.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,0
727,5122112,K00552.01,,FALSE POSITIVE,FALSE POSITIVE,0.0590,0,1,0,0
728,5303551,K00553.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
732,5738496,K00556.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
741,7025846,K00565.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
752,8106610,K00570.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
765,8474898,K00576.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
787,9886221,K00591.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
805,2441151,K00603.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
806,3970233,K00604.01,,FALSE POSITIVE,FALSE POSITIVE,0.0270,0,1,0,0
809,5014753,K00606.01,,FALSE POSITIVE,FALSE POSITIVE,0.0020,0,1,0,0
811,5562784,K00608.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
812,5608566,K00609.01,,FALSE POSITIVE,FALSE POSITIVE,0.0240,0,1,0,0
818,6960456,K00613.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
820,8374580,K00615.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
822,9846086,K00617.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
828,12251650,K00621.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
844,4659405,K00630.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
848,4861736,K00634.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
850,5090690,K00636.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
851,5098444,K00637.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
857,5181817,K00642.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
858,5309353,K00643.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
859,5356593,K00644.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
862,5384802,K00646.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
865,5596440,K00648.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
869,5796186,K00651.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
871,5893123,K00653.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
876,5966660,K00656.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0,0,1,0
897,6805146,K00668.01,,FALSE POSITIVE,FALSE POSITIVE,0.0030,0,1,0,0
898,6960445,K00669.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
906,7115785,K00672.03,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,1
909,7385509,K00675.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
912,7466863,K00677.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
918,7598128,K00681.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
926,8409588,K00690.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
937,8891278,K00698.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
938,8908102,K00699.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
946,9002278,K00701.04,Kepler-62 f,CONFIRMED,FALSE POSITIVE,0.0000,1,0,0,0
948,9053112,K00702.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
949,9162741,K00703.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
951,9300285,K00705.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
952,9426071,K00706.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
967,9640976,K00712.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
968,9640985,K00713.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
970,9834719,K00715.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
990,10005020,K00724.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
991,10068383,K00725.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
993,10191070,K00727.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
995,10225800,K00729.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
1000,10259031,K00731.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
1013,10345478,K00737.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
